148.0,88.0,149.0,88.0
149.0,88.0,151.0,91.0
151.0,91.0,157.0,100.0
157.0,100.0,164.0,112.0
164.0,112.0,173.0,128.0
173.0,128.0,183.0,147.0
183.0,147.0,191.0,164.0
191.0,164.0,200.0,185.0
200.0,185.0,208.0,205.0
208.0,205.0,215.0,224.0
215.0,224.0,221.0,244.0
221.0,244.0,226.0,258.0
226.0,258.0,230.0,270.0
230.0,270.0,234.0,281.0
234.0,281.0,239.0,291.0
239.0,291.0,243.0,299.0
243.0,299.0,247.0,304.0
247.0,304.0,249.0,306.0
249.0,306.0,251.0,308.0
251.0,308.0,253.0,309.0
253.0,309.0,255.0,309.0
255.0,309.0,257.0,307.0
257.0,307.0,260.0,301.0
260.0,301.0,261.0,291.0
261.0,291.0,261.0,281.0
261.0,281.0,261.0,267.0
261.0,267.0,261.0,251.0
261.0,251.0,261.0,232.0
261.0,232.0,261.0,213.0
261.0,213.0,261.0,198.0
261.0,198.0,261.0,189.0
261.0,189.0,261.0,185.0
261.0,185.0,261.0,183.0
261.0,183.0,262.0,182.0
262.0,182.0,262.0,186.0
262.0,186.0,262.0,194.0
262.0,194.0,262.0,206.0
262.0,206.0,262.0,220.0
262.0,220.0,262.0,233.0
262.0,233.0,262.0,245.0
262.0,245.0,262.0,254.0
262.0,254.0,265.0,260.0
265.0,260.0,268.0,263.0
268.0,263.0,270.0,265.0
270.0,265.0,272.0,266.0
272.0,266.0,274.0,266.0
274.0,266.0,275.0,266.0
275.0,266.0,277.0,265.0
277.0,265.0,280.0,262.0
280.0,262.0,283.0,255.0
283.0,255.0,287.0,245.0
287.0,245.0,291.0,233.0
291.0,233.0,294.0,219.0
294.0,219.0,297.0,206.0
297.0,206.0,300.0,189.0
300.0,189.0,301.0,169.0
301.0,169.0,301.0,150.0
301.0,150.0,301.0,131.0
301.0,131.0,301.0,114.0
301.0,114.0,301.0,100.0
301.0,100.0,301.0,89.0
301.0,89.0,301.0,82.0
301.0,82.0,301.0,79.0
301.0,79.0,300.0,78.0
300.0,78.0,300.0,77.0
300.0,77.0,302.0,77.0
302.0,77.0,309.0,77.0
309.0,77.0,323.0,77.0
323.0,77.0,345.0,79.0
345.0,79.0,383.0,79.0
383.0,79.0,426.0,79.0
426.0,79.0,470.0,79.0
470.0,79.0,513.0,79.0
513.0,79.0,551.0,79.0
551.0,79.0,584.0,79.0
584.0,79.0,608.0,79.0
608.0,79.0,622.0,79.0
622.0,79.0,630.0,79.0
630.0,79.0,633.0,79.0
633.0,79.0,634.0,79.0
634.0,79.0,635.0,79.0
635.0,79.0,636.0,79.0
636.0,79.0,636.0,83.0
636.0,83.0,636.0,91.0
636.0,91.0,630.0,102.0
630.0,102.0,620.0,117.0
620.0,117.0,606.0,139.0
606.0,139.0,587.0,168.0
587.0,168.0,565.0,203.0
565.0,203.0,541.0,246.0
541.0,246.0,522.0,288.0
522.0,288.0,512.0,318.0
512.0,318.0,508.0,337.0
508.0,337.0,506.0,347.0
506.0,347.0,505.0,353.0
505.0,353.0,505.0,355.0
505.0,355.0,505.0,356.0
505.0,356.0,506.0,357.0
506.0,357.0,508.0,357.0
508.0,357.0,511.0,358.0
511.0,358.0,513.0,358.0
513.0,358.0,515.0,358.0
515.0,358.0,516.0,358.0
516.0,358.0,517.0,358.0
517.0,358.0,518.0,358.0
518.0,358.0,519.0,358.0
519.0,358.0,522.0,358.0
522.0,358.0,529.0,358.0
529.0,358.0,537.0,357.0
537.0,357.0,545.0,353.0
545.0,353.0,556.0,350.0
556.0,350.0,570.0,348.0
