149.0,264.0,149.0,262.0
149.0,262.0,149.0,257.0
149.0,257.0,149.0,251.0
149.0,251.0,149.0,244.0
149.0,244.0,149.0,236.0
149.0,236.0,149.0,228.0
149.0,228.0,149.0,222.0
149.0,222.0,149.0,214.0
149.0,214.0,149.0,204.0
149.0,204.0,149.0,196.0
149.0,196.0,149.0,188.0
149.0,188.0,148.0,179.0
148.0,179.0,147.0,168.0
147.0,168.0,146.0,158.0
146.0,158.0,146.0,148.0
146.0,148.0,146.0,136.0
146.0,136.0,146.0,125.0
146.0,125.0,146.0,115.0
146.0,115.0,146.0,105.0
146.0,105.0,146.0,96.0
146.0,96.0,146.0,87.0
146.0,87.0,146.0,80.0
146.0,80.0,146.0,74.0
146.0,74.0,146.0,70.0
146.0,70.0,146.0,66.0
146.0,66.0,146.0,62.0
146.0,62.0,146.0,59.0
146.0,59.0,146.0,56.0
146.0,56.0,146.0,53.0
146.0,53.0,146.0,52.0
146.0,52.0,146.0,51.0
146.0,51.0,146.0,52.0
146.0,52.0,146.0,57.0
146.0,57.0,146.0,64.0
146.0,64.0,146.0,71.0
146.0,71.0,146.0,80.0
146.0,80.0,146.0,91.0
146.0,91.0,146.0,101.0
146.0,101.0,146.0,111.0
146.0,111.0,146.0,120.0
146.0,120.0,146.0,131.0
146.0,131.0,146.0,143.0
146.0,143.0,146.0,154.0
146.0,154.0,146.0,166.0
146.0,166.0,146.0,178.0
146.0,178.0,146.0,189.0
146.0,189.0,146.0,200.0
146.0,200.0,147.0,209.0
147.0,209.0,148.0,219.0
148.0,219.0,149.0,227.0
149.0,227.0,150.0,232.0
150.0,232.0,151.0,239.0
151.0,239.0,152.0,246.0
152.0,246.0,152.0,252.0
152.0,252.0,153.0,257.0
153.0,257.0,154.0,261.0
154.0,261.0,155.0,265.0
155.0,265.0,156.0,268.0
156.0,268.0,156.0,269.0
156.0,269.0,157.0,270.0
157.0,270.0,159.0,267.0
159.0,267.0,161.0,261.0
161.0,261.0,163.0,253.0
163.0,253.0,165.0,246.0
165.0,246.0,167.0,237.0
167.0,237.0,169.0,226.0
169.0,226.0,170.0,214.0
170.0,214.0,170.0,203.0
170.0,203.0,170.0,189.0
170.0,189.0,170.0,173.0
170.0,173.0,170.0,157.0
170.0,157.0,170.0,142.0
170.0,142.0,170.0,129.0
170.0,129.0,170.0,117.0
